TagID,LastObs,AssignSpawnSite,AssignSpawnNode,TagPath,FacilityName,LadCode,PassDate,PassTime,SppCode,CarcassNo,PitTag,JvPitTag,Status,Origin,Age,Sex,Forklgth,Pohlgth,Mehlgth,Weight,AdClip
3DD.003D2F97AE,2020-04-08T00:04:56Z,LNR,LNR,"PRO, SUNA0, LNR",Prosser,pb,2019-12-31T00:00:00Z,-2209045680,wsth,NA,3DD.003D2F97AE,NA,PAS,NA,NA,M,58,NA,46,2.95,NA
3DD.003D2F97AF,2020-03-17T15:58:07Z,SAT,SATA0,"PRO, SATB0, SATA0, SATB0, SATA0, SATB0, PRO",Prosser,pb,2020-01-29T00:00:00Z,-2209038480,wsth,NA,3DD.003D2F97AF,NA,PAS,NA,NA,F,75,NA,61,8.3,NA
3DD.003D2F97B0,2020-04-24T01:18:06Z,LNR,LNR,"PRO, LNR",Prosser,pb,2019-10-08T00:00:00Z,-2209042080,wsth,NA,3DD.003D2F97B0,NA,PAS,NA,NA,F,78,NA,64,9.1,NA
3DD.003D2F97B1,2020-03-05T17:35:01Z,TP2,TP2A0,"PRO, TOPB0, TP2B0, TP2A0, TP2B0, TP2A0",Prosser,pb,2019-11-13T00:00:00Z,-2209038480,wsth,NA,3DD.003D2F97B1,NA,PAS,NA,NA,M,62,NA,52,3.18,NA
3DD.003D2F97B2,2020-04-21T05:09:34Z,TOP,TOPA0,"PRO, TOPA0",Prosser,pb,2019-12-31T00:00:00Z,-2209045680,wsth,NA,3DD.003D2F97B2,NA,PAS,NA,NA,M,51,NA,40,2.8,NA
3DD.003D2F97B3,2020-04-26T00:31:24Z,TP2,TP2A0,"PRO, TOPB0, TOPA0, TP2B0, TP2A0, TP2B0, TOPA0, TOPB0, TOPA0, TOPB0, TOPA0, TOPB0, TOPA0, TOPB0, TOPA0, TOPB0, TOPA0, TOPB0, TOPA0, TOPB0",Prosser,pb,2019-10-15T00:00:00Z,-2209042080,wsth,NA,3DD.003D2F97B3,NA,PAS,NA,NA,F,61,NA,49,5,NA
3DD.003D2F97B4,2020-03-31T21:37:46Z,SAT,SATA0,"PRO, SATA0, SATB0",Prosser,pb,2019-10-22T00:00:00Z,-2209042080,wsth,NA,3DD.003D2F97B4,NA,PAS,NA,NA,F,56,NA,47,3.3,NA
3DD.003D2F97B5,2020-01-25T18:05:27Z,SAT,SATA0,"PRO, SATB0, SATA0",Prosser,pb,2019-10-04T00:00:00Z,-2209045680,wsth,NA,3DD.003D2F97B5,NA,PAS,NA,NA,M,63,NA,50,4.55,NA
3DD.003D2F97B6,2020-04-22T02:47:19Z,TP2,TP2A0,"PRO, TOPB0, TOPA0, TP2B0, TP2A0, TP2B0, TOPA0, TOPB0",Prosser,pb,2020-01-03T00:00:00Z,-2209042080,wsth,NA,3DD.003D2F97B6,NA,PAS,NA,NA,F,60,NA,52,4.7,NA
3DD.003D2F97B7,2020-02-27T17:51:47Z,ROZ,ROZA0,"PRO, ROZB0, ROZA0",Prosser,pb,2019-09-30T00:00:00Z,-2209042080,wsth,NA,3DD.003D2F97B7,NA,PAS,NA,NA,F,60,NA,48,4.1,NA
3DD.003D2F97B8,2020-06-22T02:24:59Z,PRO,PRO,PRO,Prosser,pb,2019-10-22T00:00:00Z,-2209042080,wsth,NA,3DD.003D2F97B8,NA,PAS,NA,NA,F,59,NA,49,3.8,NA
3DD.003D2F97B9,2020-10-21T17:30:04Z,PRO,PRO,PRO,Prosser,pb,2019-10-22T00:00:00Z,-2209013280,wsth,NA,3DD.003D2F97B9,NA,PAS,NA,NA,M,60,NA,42,5.1,NA
3DD.003D2F97BA,2019-10-18T08:32:40Z,PRO,PRO,PRO,Prosser,pb,2019-10-18T00:00:00Z,-2209042080,wsth,NA,3DD.003D2F97BA,NA,PAS,NA,NA,F,62,NA,50,5.25,NA
