TagID,LastObs,AssignSpawnSite,AssignSpawnNode,TagPath,FacilityName,LadCode,PassDate,PassTime,SppCode,CarcassNo,Status,Origin,Age,Sex,Forklgth,Pohlgth,Mehlgth,Weight
3DD.00773762DA,2019-04-03 20:49:03,LNR,LNR,"PRO, SUNB0, LNR, PRO",Prosser,pb,2018-10-14T00:00:00Z,0.425,wsth,NA,PAS,NA,NA,F,60,NA,46,4
3DD.007737645F,2018-11-06 02:36:35,TOP,TOPB0,"PRO, TOPB0",Prosser,pb,2018-10-13T00:00:00Z,0.3833333333333333,wsth,NA,PAS,NA,NA,M,61,NA,47,4.95
3DD.007737656F,2018-09-28 07:55:10,PRO,PRO,PRO,Prosser,pb,2018-09-28T00:00:00Z,0.3416666666666666,wsth,NA,PAS,NA,NA,M,61,NA,48,5.25
3DD.007737683F,2019-03-22 14:44:00,ROZ,ROZA0,"PRO, ROZB0, ROZA0",Prosser,pb,2018-10-15T00:00:00Z,0.6333333333333333,wsth,NA,PAS,NA,NA,M,60,NA,48,6
3DD.00773768EF,2019-04-02 14:58:57,LMA,ICHA0,"PRO, ICHB0, ICHA0",Prosser,pb,2018-12-05T00:00:00Z,0.3833333333333333,wsth,NA,PAS,NA,NA,M,55,NA,44,3.45
3DD.007737697D,2019-03-11 05:28:19,SAT,SATA0,"PRO, SATB0, SATA0",Prosser,pb,2018-10-13T00:00:00Z,0.3833333333333333,wsth,NA,PAS,NA,NA,M,60,NA,43,4.25
3DD.0077376BA4,2019-03-22 18:54:21,TP2,TP2A0,"PRO, TOPB0, TOPA0, TP2B0, TP2A0, TP2B0, TOPB0",Prosser,pb,2018-10-21T00:00:00Z,0.3833333333333333,wsth,NA,PAS,NA,NA,M,65,NA,48,4.5
3DD.0077376C60,2018-10-19 08:41:25,PRO,PRO,PRO,Prosser,pb,2018-10-19T00:00:00Z,0.3833333333333333,wsth,NA,PAS,NA,NA,F,56,NA,41,4
3DD.0077383EC3,2019-03-22 04:46:29,LNR,LNR,"PRO, LNR, PRO",Prosser,pb,2018-10-18T00:00:00Z,0.3833333333333333,wsth,NA,PAS,NA,NA,M,71,NA,55,7.1
3DD.0077384CF1,2018-10-28 08:38:09,PRO,PRO,PRO,Prosser,pb,2018-10-28T00:00:00Z,0.3833333333333333,hsth,NA,PAS,NA,NA,M,77,NA,57,8.9
3DD.0077386712,2019-04-12 18:21:27,AH1,AH1A0,"PRO, AH1B0, AH1A0",Prosser,pb,2018-10-15T00:00:00Z,0.3833333333333333,wsth,NA,PAS,NA,NA,M,57,NA,43,6
3DD.00773875D7,2019-03-19 18:09:58,AH1,AH1A0,"PRO, AH1A0, AH1B0, PRO",Prosser,pb,2018-10-19T00:00:00Z,0.3833333333333333,wsth,NA,PAS,NA,NA,F,59,NA,45,4.35
3DD.007738837C,2019-04-11 22:34:38,LWC,LWCA0,"PRO, SUNB0, LWCB0, LWCA0",Prosser,pb,2018-10-26T00:00:00Z,0.3416666666666666,wsth,NA,PAS,NA,NA,F,57,NA,41,4.75
3DD.007765A359,2018-12-15 03:25:47,LNR,LNR,"PRO, LNR",Prosser,pb,2018-10-08T00:00:00Z,0.37777777777777777,hsth,NA,PAS,--,NA,F,62,NA,47,5.65
